fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,train_total_return,train_profit_factor,train_payoff_ratio,train_win_rate,train_total_trades,train_max_drawdown,train_avg_hold_hours,train_hit_27pct_symbols,train_near_liq_trades,train_gt5x_trade_pct,train_pnl_share_from_gt5x,profitable_symbols,symbols_tested,profitable_symbol_ratio,centrality_distance,passed_train_gate
10,50,20,1.5,4.0,48,14,-0.11473187458596712,0.9280843364181719,2.4325767716885816,0.25613257948226215,6158,0.4208476618373791,15.263884231055147,7,0,0.013541778092519866,0.01888097271282908,5,20,0.25,5.5,False
10,50,20,1.5,4.0,72,14,-0.11342806417144377,0.9196699423291234,2.6768883734615874,0.23754608342012337,5903,0.3733953136826369,17.250989912782572,7,0,0.011244029600255414,0.014001386944294123,5,20,0.25,6.5,False
10,50,20,2.0,1.5,24,14,-0.14753574295995855,0.9154774677941047,1.193866877381969,0.4271036870352507,7189,0.3278954037897007,9.819568737524563,8,0,0.0035686053518520903,0.003421349312459219,6,20,0.3,4.5,False
10,50,20,2.0,1.5,48,14,-0.1446992838946317,0.9314504189186495,1.2146327429785801,0.42757503070203373,7260,0.3171059101903658,11.87769129932894,8,0,0.003991576013279512,0.005643487522569702,5,20,0.25,3.5,False
10,50,20,2.0,1.5,72,14,-0.14200348754764675,0.9332156933509526,1.2250427334405123,0.4260486456480647,7004,0.3261038779759153,12.584322274380138,9,0,0.004009615975995131,0.004747887138313124,4,20,0.2,4.5,False
10,50,20,2.0,2.0,24,14,-0.12416781390515925,0.972780411636705,1.4729508043218627,0.39014050736492695,7139,0.3201861985901674,11.305575920358834,9,0,0.005080479562404317,0.0040124436754234525,6,20,0.3,4.0,False
10,50,20,2.0,2.0,48,14,-0.11662288579737771,0.972769499282666,1.565324729991403,0.37677188390174293,6924,0.31612581968241643,14.457146877663074,6,0,0.005228221119573378,0.0037578666368664913,6,20,0.3,3.0,False
10,50,20,2.0,2.0,72,14,-0.1105696414338641,0.9905144645038293,1.6182688076873029,0.37454515665519333,7257,0.3073921736021757,15.847240444180205,5,0,0.0050981527504577,0.003755663899493547,6,20,0.3,4.0,False
10,50,20,2.0,3.0,24,14,-0.10159830126490477,0.9128844182835552,1.588980798285871,0.3406446444425469,6778,0.3522459481289885,13.678993044794737,6,0,0.005954657561748472,0.005190190390647798,6,20,0.3,5.0,False
10,50,20,2.0,3.0,48,14,-0.10550033448001757,0.9035236278423404,1.8716747517940686,0.30442306254805007,6252,0.36361804800622627,18.851435983338327,6,0,0.006276375162444935,0.007832683817414959,5,20,0.25,4.0,False
