fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,train_return,train_pf,train_trades,valid_return,valid_pf,valid_trades,valid_win_rate,valid_payoff,valid_dd,rank_pf,ok
20,96,64,3.2,5.0,96,14,0.012032355014982973,1.795399751401571,69,-0.0004735991565133051,0.5106958973755981,5,0.6,0.340463931583732,0.0004826370626254605,0.5106958973755981,False
20,96,64,3.2,6.0,96,14,0.011332407799526772,1.7496014351647837,69,-0.0004735991565133051,0.5106958973755981,5,0.6,0.340463931583732,0.0004826370626254605,0.5106958973755981,False
8,48,24,2.8,5.0,64,14,0.005939417033300311,1.1248095848827775,167,-0.0037528651806354543,0.5063633691949428,27,0.3333333333333333,1.0127267383898857,0.005853247305142056,0.5063633691949428,False
8,48,24,2.8,6.0,64,14,0.004557470082297437,1.096858658248371,166,-0.0037528651806354543,0.5063633691949428,27,0.3333333333333333,1.0127267383898857,0.005853247305142056,0.5063633691949428,False
8,48,24,2.8,3.5,96,14,0.00591791289426195,1.160234263985652,129,-0.002584487562248288,0.5036299332059999,14,0.21428571428571427,1.8466430884219998,0.003565720768537342,0.5036299332059999,False
8,48,24,2.8,4.0,48,14,-0.00790835872994326,0.8375801394307107,180,-0.0035879426843176696,0.49592351505575416,24,0.25,1.4877705451672627,0.005852569997023872,0.49592351505575416,False
8,48,24,2.4,6.0,64,14,0.007368908681824547,1.1457013772683509,163,-0.004183566973210735,0.48850235351154486,27,0.2962962962962963,1.160193089589919,0.0067372699983097055,0.48850235351154486,False
8,48,24,3.2,5.0,96,14,0.013464794790291853,1.3771095049666278,138,-0.002993594624762582,0.4884012143356803,24,0.3333333333333333,0.9768024286713606,0.0048098439723054335,0.4884012143356803,False
8,48,24,3.2,6.0,96,14,0.010955971250644327,1.30742401792432,137,-0.002993594624762582,0.4884012143356803,24,0.3333333333333333,0.9768024286713606,0.0048098439723054335,0.4884012143356803,False
8,48,24,2.8,5.0,48,14,-0.009947949436282176,0.7985516328273009,185,-0.0038314331863470914,0.48491909105553405,28,0.32142857142857145,1.0237180811172384,0.005969816965006075,0.48491909105553405,False
8,48,24,2.8,6.0,48,14,-0.013061225848384374,0.7348344742793819,185,-0.0038314331863470914,0.48491909105553405,28,0.32142857142857145,1.0237180811172384,0.005969816965006075,0.48491909105553405,False
8,48,24,2.8,4.0,64,14,0.006178805303580323,1.1381582528661927,162,-0.003697476024933401,0.48309782398535717,23,0.2608695652173913,1.3687771679585121,0.005909387591420131,0.48309782398535717,False
8,48,24,3.2,5.0,48,14,-0.009459942299988843,0.7812997615912403,182,-0.0033718834420228988,0.48014594026770374,28,0.2857142857142857,1.2003648506692592,0.006029645512363124,0.48014594026770374,False
